Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],52068.96551724138,777
['Random'],53620.68965517241,777
['Random'],55172.41379310345,777
['Random'],56724.13793103448,777
['Random'],58275.862068965514,777
['Random'],59827.58620689655,777
['Random'],61379.31034482759,777
['Random'],62931.03448275862,777
['Random'],64482.75862068965,777
['Random'],66034.4827586207,777
['Random'],67586.20689655172,777
['Random'],69137.93103448275,777
['Random'],70689.6551724138,777
['Random'],72241.37931034483,777
['Random'],73793.10344827586,777
['Random'],75344.8275862069,777
['Random'],76896.55172413793,777
['Random'],78448.27586206896,777
['Random'],80000.0,777
['Highest_degree'],35000.0,9
['Highest_degree'],36551.724137931036,14
['Highest_degree'],38103.44827586207,23
['Highest_degree'],39655.1724137931,26
['Highest_degree'],41206.89655172414,31
['Highest_degree'],42758.620689655174,65
['Highest_degree'],44310.3448275862,242
['Highest_degree'],45862.06896551724,910
['Highest_degree'],47413.793103448275,835
['Highest_degree'],48965.51724137931,811
['Highest_degree'],50517.24137931035,784
['Highest_degree'],52068.96551724138,784
['Highest_degree'],53620.68965517241,784
['Highest_degree'],55172.41379310345,784
['Highest_degree'],56724.13793103448,784
['Highest_degree'],58275.862068965514,784
['Highest_degree'],59827.58620689655,784
['Highest_degree'],61379.31034482759,784
['Highest_degree'],62931.03448275862,784
['Highest_degree'],64482.75862068965,784
['Highest_degree'],66034.4827586207,784
['Highest_degree'],67586.20689655172,784
['Highest_degree'],69137.93103448275,784
['Highest_degree'],70689.6551724138,784
['Highest_degree'],72241.37931034483,784
['Highest_degree'],73793.10344827586,784
['Highest_degree'],75344.8275862069,784
['Highest_degree'],76896.55172413793,784
['Highest_degree'],78448.27586206896,784
['Highest_degree'],80000.0,784
['Lowest_degree'],35000.0,4
['Lowest_degree'],36551.724137931036,3
['Lowest_degree'],38103.44827586207,7
['Lowest_degree'],39655.1724137931,7
['Lowest_degree'],41206.89655172414,10
['Lowest_degree'],42758.620689655174,11
['Lowest_degree'],44310.3448275862,19
['Lowest_degree'],45862.06896551724,26
['Lowest_degree'],47413.793103448275,29
['Lowest_degree'],48965.51724137931,33
['Lowest_degree'],50517.24137931035,40
['Lowest_degree'],52068.96551724138,43
['Lowest_degree'],53620.68965517241,47
['Lowest_degree'],55172.41379310345,55
['Lowest_degree'],56724.13793103448,80
['Lowest_degree'],58275.862068965514,157
['Lowest_degree'],59827.58620689655,843
['Lowest_degree'],61379.31034482759,794
['Lowest_degree'],62931.03448275862,760
['Lowest_degree'],64482.75862068965,715
['Lowest_degree'],66034.4827586207,715
['Lowest_degree'],67586.20689655172,715
['Lowest_degree'],69137.93103448275,715
['Lowest_degree'],70689.6551724138,715
['Lowest_degree'],72241.37931034483,715
['Lowest_degree'],73793.10344827586,715
['Lowest_degree'],75344.8275862069,715
['Lowest_degree'],76896.55172413793,715
['Lowest_degree'],78448.27586206896,715
['Lowest_degree'],80000.0,715
['Highest_gamma'],35000.0,21
['Highest_gamma'],36551.724137931036,32
['Highest_gamma'],38103.44827586207,51
['Highest_gamma'],39655.1724137931,839
['Highest_gamma'],41206.89655172414,811
['Highest_gamma'],42758.620689655174,791
['Highest_gamma'],44310.3448275862,766
['Highest_gamma'],45862.06896551724,766
['Highest_gamma'],47413.793103448275,766
['Highest_gamma'],48965.51724137931,766
['Highest_gamma'],50517.24137931035,766
['Highest_gamma'],52068.96551724138,766
['Highest_gamma'],53620.68965517241,766
['Highest_gamma'],55172.41379310345,766
['Highest_gamma'],56724.13793103448,766
['Highest_gamma'],58275.862068965514,766
['Highest_gamma'],59827.58620689655,766
['Highest_gamma'],61379.31034482759,766
['Highest_gamma'],62931.03448275862,766
['Highest_gamma'],64482.75862068965,766
['Highest_gamma'],66034.4827586207,766
['Highest_gamma'],67586.20689655172,766
['Highest_gamma'],69137.93103448275,766
['Highest_gamma'],70689.6551724138,766
['Highest_gamma'],72241.37931034483,766
['Highest_gamma'],73793.10344827586,766
['Highest_gamma'],75344.8275862069,766
['Highest_gamma'],76896.55172413793,766
['Highest_gamma'],78448.27586206896,766
['Highest_gamma'],80000.0,766
['Lowest_gamma'],35000.0,4
['Lowest_gamma'],36551.724137931036,7
['Lowest_gamma'],38103.44827586207,9
['Lowest_gamma'],39655.1724137931,9
['Lowest_gamma'],41206.89655172414,5
['Lowest_gamma'],42758.620689655174,8
['Lowest_gamma'],44310.3448275862,12
['Lowest_gamma'],45862.06896551724,12
['Lowest_gamma'],47413.793103448275,11
['Lowest_gamma'],48965.51724137931,18
['Lowest_gamma'],50517.24137931035,27
['Lowest_gamma'],52068.96551724138,29
['Lowest_gamma'],53620.68965517241,52
['Lowest_gamma'],55172.41379310345,56
['Lowest_gamma'],56724.13793103448,83
['Lowest_gamma'],58275.862068965514,912
['Lowest_gamma'],59827.58620689655,910
['Lowest_gamma'],61379.31034482759,833
['Lowest_gamma'],62931.03448275862,787
['Lowest_gamma'],64482.75862068965,770
['Lowest_gamma'],66034.4827586207,770
['Lowest_gamma'],67586.20689655172,770
['Lowest_gamma'],69137.93103448275,770
['Lowest_gamma'],70689.6551724138,770
['Lowest_gamma'],72241.37931034483,770
['Lowest_gamma'],73793.10344827586,770
['Lowest_gamma'],75344.8275862069,770
['Lowest_gamma'],76896.55172413793,770
['Lowest_gamma'],78448.27586206896,770
['Lowest_gamma'],80000.0,770
Incentive Strategy,Total to Distribute,Number of agents incentivized
['Random'],35000.0,190
['Random'],36551.724137931036,202
['Random'],38103.44827586207,219
['Random'],39655.1724137931,237
['Random'],41206.89655172414,244
['Random'],42758.620689655174,266
['Random'],44310.3448275862,281
['Random'],45862.06896551724,300
['Random'],47413.793103448275,316
['Random'],48965.51724137931,345
['Random'],50517.24137931035,345
['Random'],52068.96551724138,345
['Random'],53620.68965517241,345
['Random'],55172.41379310345,345
['Random'],56724.13793103448,345
['Random'],58275.862068965514,345
['Random'],59827.58620689655,345
['Random'],61379.31034482759,345
['Random'],62931.03448275862,345
['Random'],64482.75862068965,345
['Random'],66034.4827586207,345
['Random'],67586.20689655172,345
['Random'],69137.93103448275,345
['Random'],70689.6551724138,345
['Random'],72241.37931034483,345
['Random'],73793.10344827586,345
['Random'],75344.8275862069,345
['Random'],76896.55172413793,345
['Random'],78448.27586206896,345
['Random'],80000.0,345
['Highest_degree'],35000.0,146
['Highest_degree'],36551.724137931036,157
['Highest_degree'],38103.44827586207,166
['Highest_degree'],39655.1724137931,181
['Highest_degree'],41206.89655172414,188
['Highest_degree'],42758.620689655174,199
['Highest_degree'],44310.3448275862,215
['Highest_degree'],45862.06896551724,229
['Highest_degree'],47413.793103448275,246
['Highest_degree'],48965.51724137931,267
['Highest_degree'],50517.24137931035,287
['Highest_degree'],52068.96551724138,287
['Highest_degree'],53620.68965517241,287
['Highest_degree'],55172.41379310345,287
['Highest_degree'],56724.13793103448,287
['Highest_degree'],58275.862068965514,287
['Highest_degree'],59827.58620689655,287
['Highest_degree'],61379.31034482759,287
['Highest_degree'],62931.03448275862,287
['Highest_degree'],64482.75862068965,287
['Highest_degree'],66034.4827586207,287
['Highest_degree'],67586.20689655172,287
['Highest_degree'],69137.93103448275,287
['Highest_degree'],70689.6551724138,287
['Highest_degree'],72241.37931034483,287
['Highest_degree'],73793.10344827586,287
['Highest_degree'],75344.8275862069,287
['Highest_degree'],76896.55172413793,287
['Highest_degree'],78448.27586206896,287
['Highest_degree'],80000.0,287
['Lowest_degree'],35000.0,271
['Lowest_degree'],36551.724137931036,282
['Lowest_degree'],38103.44827586207,301
['Lowest_degree'],39655.1724137931,322
['Lowest_degree'],41206.89655172414,341
['Lowest_degree'],42758.620689655174,352
['Lowest_degree'],44310.3448275862,371
['Lowest_degree'],45862.06896551724,379
['Lowest_degree'],47413.793103448275,395
['Lowest_degree'],48965.51724137931,412
['Lowest_degree'],50517.24137931035,436
['Lowest_degree'],52068.96551724138,452
['Lowest_degree'],53620.68965517241,473
['Lowest_degree'],55172.41379310345,496
['Lowest_degree'],56724.13793103448,514
['Lowest_degree'],58275.862068965514,534
['Lowest_degree'],59827.58620689655,559
['Lowest_degree'],61379.31034482759,590
['Lowest_degree'],62931.03448275862,616
['Lowest_degree'],64482.75862068965,655
['Lowest_degree'],66034.4827586207,655
['Lowest_degree'],67586.20689655172,655
['Lowest_degree'],69137.93103448275,655
['Lowest_degree'],70689.6551724138,655
['Lowest_degree'],72241.37931034483,655
['Lowest_degree'],73793.10344827586,655
['Lowest_degree'],75344.8275862069,655
['Lowest_degree'],76896.55172413793,655
['Lowest_degree'],78448.27586206896,655
['Lowest_degree'],80000.0,655
['Highest_gamma'],35000.0,235
['Highest_gamma'],36551.724137931036,255
['Highest_gamma'],38103.44827586207,276
