Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Highest_gamma'],71538.46153846153,20000
['Highest_gamma'],72948.71794871794,20000
['Highest_gamma'],74358.97435897436,20000
['Highest_gamma'],75769.23076923077,20000
['Highest_gamma'],77179.48717948717,20000
['Highest_gamma'],78589.7435897436,20000
['Highest_gamma'],80000.0,20000
['Lowest_gamma'],25000.0,17000
['Lowest_gamma'],26410.25641025641,14000
['Lowest_gamma'],27820.51282051282,17000
['Lowest_gamma'],29230.76923076923,17000
['Lowest_gamma'],30641.02564102564,17000
['Lowest_gamma'],32051.28205128205,14000
['Lowest_gamma'],33461.53846153846,14000
['Lowest_gamma'],34871.794871794875,17000
['Lowest_gamma'],36282.05128205128,20000
['Lowest_gamma'],37692.30769230769,14000
['Lowest_gamma'],39102.5641025641,20000
['Lowest_gamma'],40512.820512820515,14000
['Lowest_gamma'],41923.07692307692,20000
['Lowest_gamma'],43333.33333333333,20000
['Lowest_gamma'],44743.58974358974,16000
['Lowest_gamma'],46153.846153846156,14000
['Lowest_gamma'],47564.10256410256,14000
['Lowest_gamma'],48974.35897435897,20000
['Lowest_gamma'],50384.61538461538,16439
['Lowest_gamma'],51794.8717948718,17035
['Lowest_gamma'],53205.1282051282,16987
['Lowest_gamma'],54615.38461538461,13912
['Lowest_gamma'],56025.64102564102,10516
['Lowest_gamma'],57435.89743589744,7320
['Lowest_gamma'],58846.153846153844,5931
['Lowest_gamma'],60256.41025641025,5931
['Lowest_gamma'],61666.666666666664,5931
['Lowest_gamma'],63076.92307692308,5931
['Lowest_gamma'],64487.179487179485,5931
['Lowest_gamma'],65897.43589743589,5931
['Lowest_gamma'],67307.69230769231,5931
['Lowest_gamma'],68717.94871794872,5931
['Lowest_gamma'],70128.20512820513,5931
['Lowest_gamma'],71538.46153846153,5931
['Lowest_gamma'],72948.71794871794,5931
['Lowest_gamma'],74358.97435897436,5931
['Lowest_gamma'],75769.23076923077,5931
['Lowest_gamma'],77179.48717948717,5931
['Lowest_gamma'],78589.7435897436,5931
['Lowest_gamma'],80000.0,5931
Incentive Strategy,Total to Distribute,Number of spillovers
['Random'],25000.0,441
['Random'],26410.25641025641,430
['Random'],27820.51282051282,439
['Random'],29230.76923076923,439
['Random'],30641.02564102564,476
['Random'],32051.28205128205,525
['Random'],33461.53846153846,526
['Random'],34871.794871794875,514
['Random'],36282.05128205128,525
['Random'],37692.30769230769,523
['Random'],39102.5641025641,523
['Random'],40512.820512820515,515
['Random'],41923.07692307692,507
['Random'],43333.33333333333,526
['Random'],44743.58974358974,530
['Random'],46153.846153846156,555
['Random'],47564.10256410256,550
['Random'],48974.35897435897,621
['Random'],50384.61538461538,619
['Random'],51794.8717948718,611
['Random'],53205.1282051282,722
['Random'],54615.38461538461,716
['Random'],56025.64102564102,740
['Random'],57435.89743589744,734
['Random'],58846.153846153844,734
['Random'],60256.41025641025,734
['Random'],61666.666666666664,734
['Random'],63076.92307692308,734
['Random'],64487.179487179485,734
['Random'],65897.43589743589,734
['Random'],67307.69230769231,734
['Random'],68717.94871794872,734
['Random'],70128.20512820513,734
['Random'],71538.46153846153,734
['Random'],72948.71794871794,734
['Random'],74358.97435897436,734
['Random'],75769.23076923077,734
['Random'],77179.48717948717,734
['Random'],78589.7435897436,734
['Random'],80000.0,734
