Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Lowest_gamma'],29230.76923076923,10000
['Lowest_gamma'],30641.02564102564,10000
['Lowest_gamma'],32051.28205128205,10000
['Lowest_gamma'],33461.53846153846,10000
['Lowest_gamma'],34871.794871794875,10000
['Lowest_gamma'],36282.05128205128,10000
['Lowest_gamma'],37692.30769230769,20000
['Lowest_gamma'],39102.5641025641,10000
['Lowest_gamma'],40512.820512820515,20000
['Lowest_gamma'],41923.07692307692,20000
['Lowest_gamma'],43333.33333333333,10000
['Lowest_gamma'],44743.58974358974,20000
['Lowest_gamma'],46153.846153846156,20000
['Lowest_gamma'],47564.10256410256,20000
['Lowest_gamma'],48974.35897435897,20000
['Lowest_gamma'],50384.61538461538,20000
['Lowest_gamma'],51794.8717948718,20000
['Lowest_gamma'],53205.1282051282,20000
['Lowest_gamma'],54615.38461538461,20000
['Lowest_gamma'],56025.64102564102,10703
['Lowest_gamma'],57435.89743589744,18954
['Lowest_gamma'],58846.153846153844,19212
['Lowest_gamma'],60256.41025641025,17408
['Lowest_gamma'],61666.666666666664,19102
['Lowest_gamma'],63076.92307692308,18613
['Lowest_gamma'],64487.179487179485,18563
['Lowest_gamma'],65897.43589743589,18538
['Lowest_gamma'],67307.69230769231,18495
['Lowest_gamma'],68717.94871794872,15945
['Lowest_gamma'],70128.20512820513,11897
['Lowest_gamma'],71538.46153846153,9997
['Lowest_gamma'],72948.71794871794,9997
['Lowest_gamma'],74358.97435897436,9997
['Lowest_gamma'],75769.23076923077,9997
['Lowest_gamma'],77179.48717948717,9997
['Lowest_gamma'],78589.7435897436,9997
['Lowest_gamma'],80000.0,9997
Incentive Strategy,Total to Distribute,Number of spillovers
['Random'],25000.0,329
['Random'],26410.25641025641,356
['Random'],27820.51282051282,346
['Random'],29230.76923076923,348
['Random'],30641.02564102564,346
['Random'],32051.28205128205,347
['Random'],33461.53846153846,346
['Random'],34871.794871794875,346
['Random'],36282.05128205128,380
['Random'],37692.30769230769,446
['Random'],39102.5641025641,347
['Random'],40512.820512820515,434
['Random'],41923.07692307692,434
['Random'],43333.33333333333,412
['Random'],44743.58974358974,374
['Random'],46153.846153846156,347
['Random'],47564.10256410256,405
['Random'],48974.35897435897,438
['Random'],50384.61538461538,503
['Random'],51794.8717948718,436
['Random'],53205.1282051282,499
['Random'],54615.38461538461,502
['Random'],56025.64102564102,488
['Random'],57435.89743589744,449
['Random'],58846.153846153844,650
['Random'],60256.41025641025,724
['Random'],61666.666666666664,666
['Random'],63076.92307692308,715
['Random'],64487.179487179485,727
['Random'],65897.43589743589,733
['Random'],67307.69230769231,733
['Random'],68717.94871794872,733
['Random'],70128.20512820513,733
['Random'],71538.46153846153,733
['Random'],72948.71794871794,733
['Random'],74358.97435897436,733
['Random'],75769.23076923077,733
['Random'],77179.48717948717,733
['Random'],78589.7435897436,733
['Random'],80000.0,733
['Highest_degree'],25000.0,0
['Highest_degree'],26410.25641025641,0
['Highest_degree'],27820.51282051282,0
['Highest_degree'],29230.76923076923,0
['Highest_degree'],30641.02564102564,0
['Highest_degree'],32051.28205128205,508
['Highest_degree'],33461.53846153846,1
['Highest_degree'],34871.794871794875,0
['Highest_degree'],36282.05128205128,1
['Highest_degree'],37692.30769230769,496
['Highest_degree'],39102.5641025641,496
['Highest_degree'],40512.820512820515,694
['Highest_degree'],41923.07692307692,712
['Highest_degree'],43333.33333333333,685
['Highest_degree'],44743.58974358974,718
['Highest_degree'],46153.846153846156,674
['Highest_degree'],47564.10256410256,655
['Highest_degree'],48974.35897435897,651
['Highest_degree'],50384.61538461538,687
