Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Highest_gamma'],71538.46153846153,20000
['Highest_gamma'],72948.71794871794,20000
['Highest_gamma'],74358.97435897436,20000
['Highest_gamma'],75769.23076923077,20000
['Highest_gamma'],77179.48717948717,20000
['Highest_gamma'],78589.7435897436,20000
['Highest_gamma'],80000.0,20000
['Lowest_gamma'],25000.0,8000
['Lowest_gamma'],26410.25641025641,8000
['Lowest_gamma'],27820.51282051282,8000
['Lowest_gamma'],29230.76923076923,10000
['Lowest_gamma'],30641.02564102564,10000
['Lowest_gamma'],32051.28205128205,20000
['Lowest_gamma'],33461.53846153846,10000
['Lowest_gamma'],34871.794871794875,10000
['Lowest_gamma'],36282.05128205128,20000
['Lowest_gamma'],37692.30769230769,20000
['Lowest_gamma'],39102.5641025641,20000
['Lowest_gamma'],40512.820512820515,20000
['Lowest_gamma'],41923.07692307692,20000
['Lowest_gamma'],43333.33333333333,20000
['Lowest_gamma'],44743.58974358974,15888
['Lowest_gamma'],46153.846153846156,20000
['Lowest_gamma'],47564.10256410256,12217
['Lowest_gamma'],48974.35897435897,8656
['Lowest_gamma'],50384.61538461538,7138
['Lowest_gamma'],51794.8717948718,6710
['Lowest_gamma'],53205.1282051282,6710
['Lowest_gamma'],54615.38461538461,6710
['Lowest_gamma'],56025.64102564102,6710
['Lowest_gamma'],57435.89743589744,6710
['Lowest_gamma'],58846.153846153844,6710
['Lowest_gamma'],60256.41025641025,6710
['Lowest_gamma'],61666.666666666664,6710
['Lowest_gamma'],63076.92307692308,6710
['Lowest_gamma'],64487.179487179485,6710
['Lowest_gamma'],65897.43589743589,6710
['Lowest_gamma'],67307.69230769231,6710
['Lowest_gamma'],68717.94871794872,6710
['Lowest_gamma'],70128.20512820513,6710
['Lowest_gamma'],71538.46153846153,6710
['Lowest_gamma'],72948.71794871794,6710
['Lowest_gamma'],74358.97435897436,6710
['Lowest_gamma'],75769.23076923077,6710
['Lowest_gamma'],77179.48717948717,6710
['Lowest_gamma'],78589.7435897436,6710
['Lowest_gamma'],80000.0,6710
Incentive Strategy,Total to Distribute,Number of spillovers
['Random'],25000.0,231
['Random'],26410.25641025641,229
['Random'],27820.51282051282,233
['Random'],29230.76923076923,1
['Random'],30641.02564102564,235
['Random'],32051.28205128205,1
['Random'],33461.53846153846,263
['Random'],34871.794871794875,356
['Random'],36282.05128205128,349
['Random'],37692.30769230769,454
['Random'],39102.5641025641,596
['Random'],40512.820512820515,597
['Random'],41923.07692307692,575
['Random'],43333.33333333333,532
['Random'],44743.58974358974,526
['Random'],46153.846153846156,516
['Random'],47564.10256410256,506
['Random'],48974.35897435897,503
['Random'],50384.61538461538,508
['Random'],51794.8717948718,504
['Random'],53205.1282051282,505
['Random'],54615.38461538461,623
['Random'],56025.64102564102,623
['Random'],57435.89743589744,688
['Random'],58846.153846153844,677
['Random'],60256.41025641025,683
['Random'],61666.666666666664,685
['Random'],63076.92307692308,728
['Random'],64487.179487179485,728
['Random'],65897.43589743589,728
['Random'],67307.69230769231,728
['Random'],68717.94871794872,728
['Random'],70128.20512820513,728
['Random'],71538.46153846153,728
['Random'],72948.71794871794,728
['Random'],74358.97435897436,728
['Random'],75769.23076923077,728
['Random'],77179.48717948717,728
['Random'],78589.7435897436,728
['Random'],80000.0,728
