Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],48275.862068965514,44
['Random'],49482.75862068965,83
['Random'],50689.6551724138,873
['Random'],51896.55172413793,782
['Random'],53103.44827586207,762
['Random'],54310.3448275862,748
['Random'],55517.24137931035,748
['Random'],56724.13793103448,748
['Random'],57931.03448275862,748
['Random'],59137.93103448275,748
['Random'],60344.8275862069,748
['Random'],61551.72413793103,748
['Random'],62758.620689655174,748
['Random'],63965.51724137931,748
['Random'],65172.41379310345,748
['Random'],66379.3103448276,748
['Random'],67586.20689655172,748
['Random'],68793.10344827586,748
['Random'],70000.0,748
['Highest_degree'],35000.0,2
['Highest_degree'],36206.89655172414,4
['Highest_degree'],37413.793103448275,11
['Highest_degree'],38620.68965517241,8
['Highest_degree'],39827.58620689655,19
['Highest_degree'],41034.48275862069,20
['Highest_degree'],42241.379310344826,19
['Highest_degree'],43448.275862068964,28
['Highest_degree'],44655.1724137931,38
['Highest_degree'],45862.06896551724,72
['Highest_degree'],47068.96551724138,102
['Highest_degree'],48275.862068965514,162
['Highest_degree'],49482.75862068965,824
['Highest_degree'],50689.6551724138,779
['Highest_degree'],51896.55172413793,763
['Highest_degree'],53103.44827586207,757
['Highest_degree'],54310.3448275862,757
['Highest_degree'],55517.24137931035,757
['Highest_degree'],56724.13793103448,757
['Highest_degree'],57931.03448275862,757
['Highest_degree'],59137.93103448275,757
['Highest_degree'],60344.8275862069,757
['Highest_degree'],61551.72413793103,757
['Highest_degree'],62758.620689655174,757
['Highest_degree'],63965.51724137931,757
['Highest_degree'],65172.41379310345,757
['Highest_degree'],66379.3103448276,757
['Highest_degree'],67586.20689655172,757
['Highest_degree'],68793.10344827586,757
['Highest_degree'],70000.0,757
['Lowest_degree'],35000.0,2
['Lowest_degree'],36206.89655172414,3
['Lowest_degree'],37413.793103448275,5
['Lowest_degree'],38620.68965517241,5
['Lowest_degree'],39827.58620689655,5
['Lowest_degree'],41034.48275862069,7
['Lowest_degree'],42241.379310344826,7
['Lowest_degree'],43448.275862068964,7
['Lowest_degree'],44655.1724137931,9
['Lowest_degree'],45862.06896551724,8
['Lowest_degree'],47068.96551724138,12
['Lowest_degree'],48275.862068965514,14
['Lowest_degree'],49482.75862068965,13
['Lowest_degree'],50689.6551724138,14
['Lowest_degree'],51896.55172413793,28
['Lowest_degree'],53103.44827586207,34
['Lowest_degree'],54310.3448275862,30
['Lowest_degree'],55517.24137931035,44
['Lowest_degree'],56724.13793103448,65
